taid,taname,talong,tashort,msaid,display,msa_color
18,LA County DPW - South Whittier,LA County DPW - South Whittier,LACDPW,31080,False,#00ad91
18,City of Downey,City of Downey,,31080,False,#00ad91
19,CTA,Chicago Transit Authority,CTA,16980,True,#0f8fff
20,Metra,Metra Rail,Metra,16980,True,#ff5e4d
21,PACE,PACE,PACE,16980,True,#8c6112
21,Pace - Suburban Bus Division,Pace - Suburban Bus Division,PACE,16980,False,#8c6112
21,"Pace-Suburban Bus Division, ADA Paratransit Services","Pace-Suburban Bus Division, ADA Paratransit Services",PACE,16980,False,#8c6112
22,South Lake County Community Services,South Lake County Community Services,SLCCS,16980,False,#ff9d2e
22,Northwestern Indiana Regional Planning Commission,Northwestern Indiana Regional Planning Commission,NIRPC,16980,False,#ff9d2e
22,Porter County Aging and Community Services,Porter County Aging and Community Services,PCACS,16980,False,#ff9d2e
22,North Township of Lake County Dial-A-Ride,North Township of Lake County Dial-A-Ride,,16980,False,#ff9d2e
22,Opportunity Enterprises,Opportunity Enterprises,OE,16980,False,#ff9d2e
22,Gary Public Transportation Corporation,Gary Public Transportation Corporation,GPTC,16980,False,#ff9d2e
22,City of Valparaiso,City of Valparaiso,,16980,False,#ff9d2e
22,Chicago Water Taxi,Chicago Water Taxi,CWT,16980,False,#ff9d2e
22,Northern Indiana Commuter Transportation District,Northern Indiana Commuter Transportation District,NICTD,16980,False,#ff9d2e
22,Chicago Other,,Chicago Other,16980,True,#ff9d2e
22,East Chicago Transit,East Chicago Transit,ECT,16980,False,#ff9d2e
23,Miami-Dade Transit,Miami-Dade Transit,Miami-Dade Transit,33100,True,#0f8fff
24,Broward County Transit Division,Broward County Transit,Broward County Transit Division,33100,True,#ff5e4d
25,PalmTran,"Board of County Commissioners, Palm Beach County, PalmTran",PalmTran,33100,True,#8c6112
26,Tri-Rail,South Florida Regional Transportation Authority,Tri-Rail,33100,True,#ff9d2e
27,City of Coral Springs,City of Coral Springs,,33100,False,#c2ab00
27,City of Hollywood,City of Hollywood,,33100,False,#c2ab00
27,City of Deerfield Beach/ North East Focal Point Senior Center,City of Deerfield Beach/ North East Focal Point Senior Center,,33100,False,#c2ab00
27,City of Tamarac,City of Tamarac,COT,33100,False,#c2ab00
27,City of Lighthouse Point,City of Lighthouse Point,,33100,False,#c2ab00
27,Town of Lauderdale-By-The-Sea,Town of Lauderdale-By-The-Sea,,33100,False,#c2ab00
27,Town of Hillsboro Beach,Town of Hillsboro Beach,,33100,False,#c2ab00
27,City of West Park,City of West Park,,33100,False,#c2ab00
27,City of Dania Beach,City of Dania Beach,,33100,False,#c2ab00
27,City of Pompano Beach,City of Pompano Beach,,33100,False,#c2ab00
27,City of Lauderdale Lakes,City of Lauderdale Lakes,,33100,False,#c2ab00
27,City of Coconut Creek,City of Coconut Creek,,33100,False,#c2ab00
27,City of Miramar - Public Works Department,City of Miramar - Public Works Department,,33100,False,#c2ab00
27,City of Pembroke Pines,City of Pembroke Pines,,33100,False,#c2ab00
27,Town of Davie,Town of Davie,,33100,False,#c2ab00
27,City of Hallandale Beach,City of Hallandale Beach,COHB,33100,False,#c2ab00
27,City of Fort Lauderdale,City of Fort Lauderdale,,33100,False,#c2ab00
27,City of Lauderhill,City of Lauderhill,,33100,False,#c2ab00
27,Miami Lakes - vRide,Miami Lakes - vRide,,33100,False,#c2ab00
27,Miami Other,,Miami Other,33100,True,#c2ab00
27,City of Margate,City of Margate,,33100,False,#c2ab00
28,SEPTA,Southeastern Pennsylvania Transportation Authority,SEPTA,37980,True,#0f8fff
29,PATCO,Port Authority Transit Corporation,PATCO,37980,True,#ff5e4d
30,Delaware Transit Corporation,Delaware Transit Corporation,DART First State,37980,True,#8c6112
31,Gloucester County Division of Transportation Services,Gloucester County Division of Transportation Services,DTS,37980,False,#ff9d2e
31,County of Cumberland,County of Cumberland,CCET,37980,False,#ff9d2e
31,County of Burlington,County of Burlington,BurLink,37980,False,#ff9d2e
31,Philadelphia Other,,Philadelphia Other,37980,True,#ff9d2e
31,Senior Citizens United Community Services of Camden County,Senior Citizens United Community Services of Camden County,SCUCS,37980,False,#ff9d2e
31,Pennsylvania Department of Transportation,Pennsylvania Department of Transportation,PENNDOT,37980,False,#ff9d2e
31,Cecil County Government - SSCT,Cecil County Government - SSCT,,37980,False,#ff9d2e
32,DART,Dallas Area Rapid Transit,DART,19100,True,#0f8fff
33,Fort Worth Transportation Authority,Fort Worth Transportation Authority,FWTA,19100,True,#ff5e4d
34,Community Services,Community Services,CSI,19100,False,#8c6112
34,North Central Texas Council of Governments,North Central Texas Council of Governments,NCTCOG,19100,False,#8c6112
34,City of Cleburne,City of Cleburne,City/County Trans.,19100,False,#8c6112
34,City of Grand Prairie Transportation Services Department,City of Grand Prairie Transportation Services Department,Grand Connection,19100,False,#8c6112
34,Public Transit Services,Public Transit Services,PTS,19100,False,#8c6112
34,City of Mesquite,City of Mesquite,,19100,False,#8c6112
34,STAR Transit,STAR Transit,STAR,19100,False,#8c6112
34,Ft.Worth - vRide,Ft.Worth - vRide,,19100,False,#8c6112
34,McKinney Avenue Transit Authority,McKinney Avenue Transit Authority,MATA,19100,False,#8c6112
34,Dallas-Fort Worth Other,,Dallas-Fort Worth Other,19100,True,#8c6112
34,Handitran Special Transit Division - City of Arlington,Handitran Special Transit Division - City of Arlington,Handitran,19100,False,#8c6112
35,Houston Metro,"Metropolitan Transit Authority of Harris County, Texas",Houston Metro,26420,True,#0f8fff
36,Westchase District,Westchase District,westchase district,26420,False,#ff5e4d
36,Midtown Management District,Midtown Management District,,26420,False,#ff5e4d
36,Harris County Improvement District 3,Harris County Improvement District 3,UKMD,26420,False,#ff5e4d
36,Harris County Improvement District 1,Harris County Improvement District 1,HCID1,26420,False,#ff5e4d
36,"Harris County Community Services Department, Office of Transit Services","Harris County Community Services Department, Office of Transit Services",Harris County Transit,26420,False,#ff5e4d
36,Fort Bend County Public Transportation,Fort Bend County Public Transportation,Fort Bend Transit,26420,False,#ff5e4d
36,Houston Other,,Houston Other,26420,True,#ff5e4d
36,Greater Southeast Management District,Greater Southeast Management District,GSMD,26420,False,#ff5e4d
37,WMATA,Washington Metropolitan Area Transit Authority,WMATA,47900,True,#0f8fff
38,Ride-On Montgomery County Transit,Ride-On Montgomery County Transit,Ride-On Montgomery County Transit,47900,True,#ff5e4d
39,Fairfax Connector,Fairfax Connector Bus System,Fairfax Connector,47900,True,#8c6112
40,DDOT,DDOT,DDOT,47900,True,#ff9d2e
41,"Washington, DC Other",,"Washington, DC Other",47900,True,#c2ab00
41,Northern Virginia Transportation Commission,Northern Virginia Transportation Commission,NVTC,47900,False,#c2ab00
41,Metropolitan Washington Airports Authority,Metropolitan Washington Airports Authority,MWAA,47900,False,#c2ab00
41,City of Fairfax CUE Bus,City of Fairfax CUE Bus,CUE,47900,False,#c2ab00
41,City of Alexandria,City of Alexandria,DASH,47900,False,#c2ab00
41,National Capital Region Transportation Planning Board,National Capital Region Transportation Planning Board,MWCOG/TPB,47900,False,#c2ab00
41,Prince George's County Transit,Prince George's County Transit,TheBus,47900,False,#c2ab00
41,Arlington Transit - Arlington County,Arlington Transit - Arlington County,ART,47900,False,#c2ab00
41,Potomac and Rappahannock Transportation Commission,Potomac and Rappahannock Transportation Commission,PRTC,47900,False,#c2ab00
41,Virginia Railway Express,Virginia Railway Express,VRE,47900,False,#c2ab00
41,Loudoun County Commuter Bus Service,Loudoun County Commuter Bus Service,LC Transit,47900,False,#c2ab00
42,MARTA,Metropolitan Atlanta Rapid Transit Authority,MARTA,12060,True,#0f8fff
43,Henry County Transit,Henry County Transit,HC,12060,False,#ff5e4d
43,City of Marietta,City of Marietta,,12060,False,#ff5e4d
43,Atlanta Regional Commission,Atlanta Regional Commission,ARC,12060,False,#ff5e4d
43,Center for Pan Asian Community Services,Center for Pan Asian Community Services,CPACS,12060,False,#ff5e4d
43,Cherokee County Board of Commissioners,Cherokee County Board of Commissioners,CATS,12060,False,#ff5e4d
43,Enterprise Rideshare,Enterprise Rideshare,,12060,False,#ff5e4d
43,Douglas County Rideshare,Douglas County Rideshare,Rideshare,12060,False,#ff5e4d
43,vRide - Atlanta,vRide - Atlanta,,12060,False,#ff5e4d
43,City of Atlanta DPW - Transit Division,City of Atlanta DPW - Transit Division,COA DPW,12060,False,#ff5e4d
43,Gwinnett County Board of Commissioners,Gwinnett County Board of Commissioners,GCT,12060,False,#ff5e4d
43,Georgia Regional Transportation Authority,Georgia Regional Transportation Authority,GRTA,12060,False,#ff5e4d
43,Cobb County Department of Transportation,Cobb County Department of Transportation,,12060,False,#ff5e4d
43,Atlanta Other,,Atlanta Other,12060,True,#ff5e4d
44,MBTA,Massachusetts Bay Transportation Authority,MBTA,14460,True,#0f8fff
45,Town of Bedford,Town of Bedford,,14460,False,#ff5e4d
45,Mission Hill Link,Mission Hill Link,,14460,False,#ff5e4d
45,City of Beverly,City of Beverly,,14460,False,#ff5e4d
45,Greater Derry Salem Cooperative Alliance for Regional Transportation,Greater Derry Salem Cooperative Alliance for Regional Transportation,CART,14460,False,#ff5e4d
45,City of Burlington,City of Burlington,,14460,False,#ff5e4d
45,Town of Lexington,Town of Lexington,Lexpess,14460,False,#ff5e4d
45,Blooms Bus Lines,Blooms Bus Lines,BBL,14460,False,#ff5e4d
45,Boston Express Bus,Boston Express Bus,BX,14460,False,#ff5e4d
45,MetroWest Regional Transit Authority,MetroWest Regional Transit Authority,MWRTA,14460,False,#ff5e4d
45,Lowell Regional Transit Authority,Lowell Regional Transit Authority,LRTA,14460,False,#ff5e4d
45,Merrimack Valley Regional Transit Authority,Merrimack Valley Regional Transit Authority,MVRTA,14460,False,#ff5e4d
45,Brockton Area Transit Authority,Brockton Area Transit Authority,BAT,14460,False,#ff5e4d
45,Boston Other,,Boston Other,14460,True,#ff5e4d
45,Cape Ann Transportation Authority,Cape Ann Transportation Authority,CATA,14460,False,#ff5e4d
46,DDOT,City of Detroit Department of Transportation,DDOT,19820,True,#0f8fff
47,SMART,Suburban Mobility Authority for Regional Transportation,SMART,19820,True,#ff5e4d
48,M-1 Rail,M-1 Rail,,19820,False,#8c6112
48,Enterprise Rideshare - Michigan,Enterprise Rideshare - Michigan,,19820,False,#8c6112
48,Lake Erie Transit,Lake Erie Transit,LET,19820,False,#8c6112
48,Detroit Other,,Detroit Other,19820,True,#8c6112
48,Detroit Transportation Corporation,Detroit Transportation Corporation,Detroit People Mover,19820,False,#8c6112
49,Valley Metro,City of Phoenix Public Transit Department,Valley Metro,38060,True,#0f8fff
50,Valley Metro Rail,Valley Metro Rail,Valley Metro Rail,38060,True,#ff5e4d
51,RPTA,Regional Public Transportation Authority,RPTA,38060,True,#8c6112
52,Phoenix Other,,Phoenix Other,38060,True,#ff9d2e
52,vRide - Valley Metro,vRide - Valley Metro,,38060,False,#ff9d2e
52,City of Scottsdale - Scottsdale Trolley,City of Scottsdale - Scottsdale Trolley,COS,38060,False,#ff9d2e
52,City of Glendale Transit,City of Glendale Transit,,38060,False,#ff9d2e
52,Peoria Transit,Peoria Transit,,38060,False,#ff9d2e
53,Muni,San Francisco Municipal Railway,MUNI,41860,True,#0f8fff
54,BART,San Francisco Bay Area Rapid Transit District,BART,41860,True,#ff5e4d
55,AC Transit,Alameda-Contra Costa Transit District,AC Transit,41860,True,#8c6112
56,Caltrain,Peninsula Corridor Joint Powers Board,Caltrain,41860,True,#ff9d2e
57,San Mateo County Transit District,San Mateo County Transit District,SamTrans,41860,True,#c2ab00
58,San Francisco Other,,San Francisco Other,41860,True,#33a02c
58,"Golden Gate Bridge, Highway and Transportation District","Golden Gate Bridge, Highway and Transportation District",GGBHTD,41860,False,#33a02c
58,Marin County Transit District,Marin County Transit District,,41860,False,#33a02c
58,San Francisco Bay Area Water Emergency Transportation Authority,San Francisco Bay Area Water Emergency Transportation Authority,WETA,41860,False,#33a02c
58,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,WestCAT,41860,False,#33a02c
58,City of Union City Transit Division,City of Union City Transit Division,UCT,41860,False,#33a02c
58,Sonoma-Marin Area Rail Transit District,Sonoma-Marin Area Rail Transit District,SMART,41860,False,#33a02c
59,King County Metro,King County Department of Transportation,King County Metro,42660,True,#0f8fff
60,Sound Transit,Central Puget Sound Regional Transit Authority,Sound Transit,42660,True,#ff5e4d
61,Washington State Ferries,Washington State Ferries,Washington State Ferries,42660,True,#8c6112
62,Community Transit,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,42660,True,#ff9d2e
63,Pierce Transit,Pierce County Transportation Benefit Area Authority,Pierce Transit,42660,True,#c2ab00
64,Muckleshoot Indian Tribe,Muckleshoot Indian Tribe,MIT,42660,False,#33a02c
64,Pierce County Ferry Operations,Pierce County Ferry Operations,Pierce County Ferry,42660,False,#33a02c
64,Seattle Other,,Seattle Other,42660,True,#33a02c
64,Seattle Center Monorail Transit,Seattle Center Monorail Transit,SMS,42660,False,#33a02c
64,Everett Transit,Everett Transit,ET,42660,False,#33a02c
65,Metropolitan Transit System,Metropolitan Transit System,San Diego MTS,41740,True,#0f8fff
66,North County Transit District,North County Transit District,NCTD,41740,True,#ff5e4d
67,San Diego Association of Governments,San Diego Association of Governments,SANDAG,41740,True,#8c6112
68,Metro Transit,Metro Transit,Metro Transit,33460,True,#0f8fff
69,SouthWest Transit,SouthWest Transit,SWT,33460,False,#ff5e4d
69,Metro Mobility,Metro Mobility,,33460,False,#ff5e4d
69,Minnesota Valley Transit Authority,Minnesota Valley Transit Authority,MVTA,33460,False,#ff5e4d
69,City of Maple Grove,City of Maple Grove,,33460,False,#ff5e4d
69,University of Minnesota Transit,University of Minnesota Transit,,33460,False,#ff5e4d
69,Minneapolis-St. Paul Other,,Minneapolis-St. Paul Other,33460,True,#ff5e4d
69,Metropolitan Council,Metropolitan Council,,33460,False,#ff5e4d
69,City of Plymouth,City of Plymouth,Plymouth Metrolink,33460,False,#ff5e4d
70,Hillsborough Area Regional Transit Authority,Hillsborough Area Regional Transit Authority,HART,45300,True,#0f8fff
71,Pinellas Suncoast Transit Authority,Pinellas Suncoast Transit Authority,PSTA,45300,True,#ff5e4d
72,Tampa Other,,Tampa Other,45300,True,#8c6112
72,Pasco County Public Transportation,Pasco County Public Transportation,PCPT,45300,False,#8c6112
72,Jolley Trolley Transportation of Clearwater,Jolley Trolley Transportation of Clearwater,PSTA,45300,False,#8c6112
72,Tampa Bay Area Regional Transit Authority,Tampa Bay Area Regional Transit Authority,TBARTA,45300,False,#8c6112
72,The Looper Group,The Looper Group,,45300,False,#8c6112
73,Denver RTD,Denver Regional Transportation District,RTD,19740,True,#0f8fff
74,vRide - Denver,vRide - Denver,vRide - Denver,19740,True,#ff5e4d
75,Maryland Transit Administration,Maryland Transit Administration,MTA,12580,True,#0f8fff
76,Annapolis DOT,Annapolis DOT,Annapolis Transit,12580,False,#ff5e4d
76,Anne Arundel County,Anne Arundel County,,12580,False,#ff5e4d
76,Baltimore City DOT,Baltimore City DOT,,12580,False,#ff5e4d
76,Baltimore Other,,Baltimore Other,12580,True,#ff5e4d
76,Howard Transit,Howard Transit,HT,12580,False,#ff5e4d
77,St. Louis METRO,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,St. Louis METRO,41180,True,#0f8fff
78,St. Louis Other,,St. Louis Other,41180,True,#ff5e4d
78,Madison County Transit District,Madison County Transit District,MCT,41180,False,#ff5e4d
78,Loop Trolley Transportation Development District,Loop Trolley Transportation Development District,,41180,False,#ff5e4d
79,Omnitrans,Omnitrans,OMNI,40140,True,#0f8fff
80,Riverside Transit Agency,Riverside Transit Agency,RTA,40140,True,#ff5e4d
81,Riverside-San Bernardino Other,,Riverside-San Bernardino Other,40140,True,#8c6112
81,City of Corona,City of Corona,CCTS,40140,False,#8c6112
81,City of Riverside Special Transportation,City of Riverside Special Transportation,City of Riverside,40140,False,#8c6112
81,Riverside County Transportation Commission,Riverside County Transportation Commission,RCTC 5307 Recipient,40140,False,#8c6112
82,RTC of Southern Nevada,Regional Transportation Commission of Southern Nevada,RTC,29820,True,#0f8fff
83,Las Vegas Monorail Company,Las Vegas Monorail Company,LVMC,29820,True,#ff5e4d
84,TriMet,Tri-County Metropolitan Transportation District of Oregon,TriMet,38900,True,#0f8fff
85,PBOT,City of Portland,PBOT,38900,True,#ff5e4d
86,C-Tran,Clark County Public Transportation Benefit Area Authority,C-Tran,38900,True,#8c6112
87,Portland Other,,Portland Other,38900,True,#ff9d2e
87,South Metro Area Regional Transit,South Metro Area Regional Transit,SMART,38900,False,#ff9d2e
87,Ride Connection,Ride Connection,,38900,False,#ff9d2e
88,GCRTA,The Greater Cleveland Regional Transit Authority,GCRTA,17460,True,#0f8fff
89,Cleveland Other,,Cleveland Other,17460,True,#ff5e4d
89,Laketran,Laketran,,17460,False,#ff5e4d
89,Medina County Public Transit,Medina County Public Transit,MCPT,17460,False,#ff5e4d
90,VIA,VIA Metropolitan Transit,VIA,41700,True,#0f8fff
91,Alamo Regional Transit,Alamo Area Council of Governments,Alamo Regional Transit,41700,True,#ff5e4d
92,Port Authority of Allegheny County,Port Authority of Allegheny County,PAAC,38300,True,#0f8fff
93,Pittsburgh Other,,Pittsburgh Other,38300,True,#ff5e4d
93,Beaver County Transit Authority,Beaver County Transit Authority,BCTA,38300,False,#ff5e4d
93,Westmoreland County Transit Authority,Westmoreland County Transit Authority,WCTA,38300,False,#ff5e4d
93,Washington County Transportation Authority,Washington County Transportation Authority,,38300,False,#ff5e4d
93,Southwestern Pennsylvania Commission,Southwestern Pennsylvania Commission,SPC,38300,False,#ff5e4d
93,Airport Corridor Transportation Association,Airport Corridor Transportation Association,ACTA,38300,False,#ff5e4d
94,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento RT,40900,True,#0f8fff
95,City of Folsom,City of Folsom,FSL,40900,False,#ff5e4d
95,Roseville Transit,Roseville Transit,,40900,False,#ff5e4d
95,El Dorado County Transit Authority,El Dorado County Transit Authority,EDCTA,40900,False,#ff5e4d
95,Paratransit,Paratransit,,40900,False,#ff5e4d
95,City of Elk Grove,City of Elk Grove,etran,40900,False,#ff5e4d
95,Yolo County Transportation District,Yolo County Transportation District,YCTD,40900,False,#ff5e4d
95,Sacramento Other,,Sacramento Other,40900,True,#ff5e4d
95,Placer County DPWF,Placer County DPWF,PCDPWF,40900,False,#ff5e4d
96,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,VTA,41940,True,#0f8fff
97,Cincinnati Metro,Southwest Ohio Regional Transit Authority,SORTA,17140,True,#0f8fff
